videogames,videogamesLabel,fictionalUniverseLabel,followsLabel,followedByLabel,basedOnLabel
http://www.wikidata.org/entity/Q235710,Futurama,,,,
http://www.wikidata.org/entity/Q211096,Call of Duty,,,,
http://www.wikidata.org/entity/Q216995,Super Mario 64,,,,
http://www.wikidata.org/entity/Q239201,Sub Command,,,,
http://www.wikidata.org/entity/Q244140,Angband,,,,
http://www.wikidata.org/entity/Q244187,Moria,,,,
http://www.wikidata.org/entity/Q245284,Zybex,,,,
http://www.wikidata.org/entity/Q250989,TOCA Race Driver 3,,,,
http://www.wikidata.org/entity/Q260699,Pro Cycling Manager 2010,,,,
http://www.wikidata.org/entity/Q257469,Another World,,,,
http://www.wikidata.org/entity/Q220665,Space Invaders,,,,
http://www.wikidata.org/entity/Q248241,Armadillo,,,,
http://www.wikidata.org/entity/Q223341,League of Legends,League of Legends universe,,,
